r90_targets volume_elements
24459.2 558.0
21741.5 1906.0
25516.1 1582.0
22949.4 2076.0
20231.7 1002.0
6643.2 644.0
4680.5 184.0
15702.2 210.0
32310.4 200.0
208054.5 82.0
60242.2 1070.0
5586.4 388.0
12380.6 716.0
